X,Y,Z
101.975130,-122.370155,397.600000
102.696373,-122.493264,398.000000
103.470777,-122.677927,398.600000
104.142591,-122.739482,398.800000
104.972642,-122.985699,399.600000
105.646632,-123.047254,399.800000
106.427565,-123.231917,400.400000
107.103420,-123.293472,400.600000
107.887461,-123.478135,401.200000
108.673368,-123.662798,401.800000
109.406736,-123.785907,402.200000
110.250777,-124.032124,403.000000
111.042280,-124.216788,403.600000
111.946321,-124.524560,404.600000
112.742176,-124.709223,405.200000
113.539896,-124.893886,405.800000
114.395751,-125.140104,406.600000
115.197513,-125.324767,407.200000
116.001140,-125.509430,407.800000
116.863834,-125.755648,408.600000
117.556477,-125.817202,408.800000
118.423212,-126.063420,409.600000
119.292435,-126.309637,410.400000
119.930363,-126.309637,410.400000
120.862073,-126.617409,411.400000
121.560622,-126.678964,411.600000
122.437927,-126.925181,412.400000
123.258031,-127.109845,413.000000
124.140000,-127.356062,413.800000
124.843523,-127.417617,414.000000
125.790155,-127.725389,415.000000
126.678964,-127.971606,415.800000
127.570259,-128.217824,416.600000
128.525596,-128.525596,417.600000
129.422176,-128.771813,418.400000
130.383420,-129.079585,419.400000
131.347772,-129.387358,420.400000
132.252435,-129.633575,421.200000
133.222694,-129.941347,422.200000
134.196062,-130.249119,423.200000
135.045078,-130.433782,423.800000
135.960000,-130.680000,424.600000
136.813057,-130.864663,425.200000
137.667979,-131.049326,425.800000
138.589741,-131.295544,426.600000
139.709845,-131.726425,428.000000
140.571917,-131.911088,428.600000
141.699482,-132.341969,430.000000
142.831399,-132.772850,431.400000
143.967668,-133.203731,432.800000
94.734715,-120.404767,393.200000
95.394404,-120.466010,393.400000
96.103523,-120.588497,393.800000
96.813886,-120.710984,394.200000
97.574922,-120.894715,394.800000
98.238342,-120.955959,395.000000
99.052539,-121.200933,395.800000
99.768497,-121.323420,396.200000
100.536373,-121.507150,396.800000
101.204145,-121.568394,397.000000
101.975130,-121.752124,397.600000
102.696373,-121.874611,398.000000
103.470777,-122.058342,398.600000
104.194819,-122.180829,399.000000
104.972642,-122.364560,399.600000
105.646632,-122.425803,399.800000
106.427565,-122.609534,400.400000
107.103420,-122.670777,400.600000
107.887461,-122.854508,401.200000
108.619275,-122.976995,401.600000
109.406736,-123.160725,402.200000
110.196062,-123.344456,402.800000
111.042280,-123.589430,403.600000
111.890984,-123.834404,404.400000
112.742176,-124.079378,405.200000
113.483938,-124.201865,405.600000
114.339482,-124.446839,406.400000
115.254093,-124.753057,407.400000
116.001140,-124.875544,407.800000
116.863834,-125.120518,408.600000
117.613990,-125.243005,409.000000
118.423212,-125.426736,409.600000
119.292435,-125.671710,410.400000
119.930363,-125.671710,410.400000
120.862073,-125.977927,411.400000
121.560622,-126.039171,411.600000
122.378549,-126.222902,412.200000
123.258031,-126.467876,413.000000
124.080000,-126.651606,413.600000
124.843523,-126.774093,414.000000
