X,Y,Z
14.725026,-148.652642,451.100000
15.429637,-148.685596,451.200000
10.496891,-147.656269,450.200000
11.199171,-147.689067,450.300000
11.901762,-147.721865,450.400000
12.610259,-147.820259,450.700000
13.310829,-147.820259,450.700000
14.017617,-147.885855,450.900000
14.715233,-147.853057,450.800000
15.422798,-147.918653,451.000000
16.127409,-147.951451,451.100000
16.832332,-147.984249,451.200000
17.537565,-148.017047,451.300000
18.226943,-147.918653,451.000000
18.919585,-147.853057,450.800000
19.615959,-147.820259,450.700000
20.298497,-147.689067,450.300000
20.993782,-147.656269,450.200000
7.680622,-146.630052,449.200000
8.378860,-146.630052,449.200000
9.083161,-146.727979,449.500000
9.788394,-146.825907,449.800000
10.489896,-146.858549,449.900000
11.191710,-146.891192,450.000000
11.893834,-146.923834,450.100000
12.596269,-146.956477,450.200000
13.304922,-147.054404,450.500000
14.002073,-147.021762,450.400000
14.708705,-147.087047,450.600000
15.405699,-147.054404,450.500000
16.116684,-147.152332,450.800000
16.809948,-147.087047,450.600000
17.522021,-147.184974,450.900000
18.210777,-147.087047,450.600000
18.906995,-147.054404,450.500000
19.598549,-146.989119,450.300000
20.284974,-146.891192,450.000000
20.970466,-146.793264,449.700000
21.659845,-146.727979,449.500000
22.343627,-146.630052,449.200000
23.021347,-146.499482,448.800000
23.713679,-146.466839,448.700000
24.389378,-146.336269,448.300000
25.069430,-146.238342,448.000000
4.882228,-145.769378,448.700000
5.580933,-145.801865,448.800000
6.279948,-145.834352,448.900000
6.976166,-145.801865,448.800000
7.678912,-145.899326,449.100000
8.378860,-145.931813,449.200000
9.081140,-145.996788,449.400000
9.781865,-146.029275,449.500000
10.478238,-145.996788,449.400000
11.181762,-146.061762,449.600000
11.885907,-146.126736,449.800000
12.587876,-146.159223,449.900000
13.290155,-146.191710,450.000000
13.989637,-146.191710,450.000000
14.689119,-146.191710,450.000000
15.392021,-146.224197,450.100000
16.095233,-146.256684,450.200000
16.791295,-146.224197,450.100000
17.490933,-146.224197,450.100000
18.194611,-146.256684,450.200000
18.886010,-146.191710,450.000000
19.572435,-146.094249,449.700000
20.266943,-146.061762,449.600000
20.947150,-145.931813,449.200000
21.645389,-145.931813,449.200000
22.333679,-145.866839,449.000000
23.021347,-145.801865,448.800000
23.713679,-145.769378,448.700000
24.394819,-145.671917,448.400000
25.075026,-145.574456,448.100000
25.754301,-145.476995,447.800000
26.444456,-145.444508,447.700000
27.140363,-145.444508,447.700000
27.817617,-145.347047,447.400000
3.490415,-145.201244,449.100000
4.186632,-145.136580,448.900000
4.882228,-145.071917,448.700000
5.579689,-145.071917,448.700000
6.278549,-145.104249,448.800000
6.977720,-145.136580,448.900000
7.673782,-145.104249,448.800000
8.375130,-145.168912,449.000000
9.075078,-145.201244,449.100000
9.773161,-145.201244,449.100000
10.473575,-145.233575,449.200000
11.176788,-145.298238,449.400000
11.872694,-145.265907,449.300000
12.579482,-145.362902,449.600000
13.281295,-145.395233,449.700000
13.980311,-145.395233,449.700000
14.676062,-145.362902,449.600000
15.378342,-145.395233,449.700000
16.080933,-145.427565,449.800000
16.780104,-145.427565,449.800000
17.479275,-145.427565,449.800000
18.174404,-145.395233,449.700000
18.856632,-145.265907,449.300000
19.559378,-145.298238,449.400000
20.248912,-145.233575,449.200000
20.942487,-145.201244,449.100000
21.635751,-145.168912,449.000000
22.318756,-145.071917,448.700000
23.011088,-145.039585,448.600000
23.697824,-144.974922,448.400000
24.394819,-144.974922,448.400000
25.086218,-144.942591,448.300000
25.771554,-144.877927,448.100000
26.450363,-144.780933,447.800000
27.152487,-144.813264,447.900000
27.823834,-144.683938,447.500000
28.513057,-144.651606,447.400000
29.201969,-144.619275,447.300000
29.890570,-144.586943,447.200000
30.578860,-144.554611,447.100000
2.792332,-144.503161,449.100000
3.490415,-144.503161,449.100000
4.186632,-144.438808,448.900000
